quantile,v_half,translate
0,10.228099028417944,2.3513304557610604
1,15.0,5.988515614449313
2,14.611400885226422,5.96719187152963
3,1.155128433409594, 6.0717186837151935
4,1.155128433409594, 6.0717186837151935
