region,scale,v_half,v_thresh
NA1,1,57.59157739620415,25.8
NA2,0.5,58.05441496296196,25.8
NI,0.5,56.89942646832542,25.8
OC,1,59.58639912942991,25.8
SI,0.5,66.99869707300896,25.8
WP1,0.5912634046129223,48.362510112973546,25.8
WP2,0.57587729273583,99.8704078387607,25.8
WP3,0.51,94.8888338828048,25.8
WP4,0.5,100.0,25.8
ROW,0.9944305444532473,81.31640989844028,25.8
