region,country,year,rp,impact
NA1,MEX,2001,3.142857142857143,662771000.0
NA1,MEX,2018,2.933333333333333,633783000.0
NA1,MEX,2019,2.75,438426000.0
NA1,MEX,2020,2.588235294117647,378807000.0
NA1,MEX,1982,2.4444444444444446,249894000.0
NA1,MEX,1990,2.3157894736842106,203154000.0
NA1,MEX,1988,2.2,188078000.0
NA1,MEX,2003,2.0952380952380953,159088000.0
NA1,MEX,1981,2.0,128746000.0
NA1,MEX,2011,1.9130434782608696,127112000.0
NA1,MEX,2008,1.8333333333333333,101945000.0
NA1,MEX,2016,1.76,60968000.0
NA1,MEX,2009,1.6923076923076923,54565000.0
NA1,MEX,2022,1.6296296296296295,51000000.0
NA1,MEX,1992,1.5714285714285714,6257000.0
NA1,MEX,2006,1.5172413793103448,3920000.0
NA1,MEX,2017,1.4666666666666666,2388000.0
NA1,MEX,1998,1.4193548387096775,1795000.0
NA1,MEX,2000,1.375,1700000.0
NA1,MEX,1996,1.3333333333333333,19000.0
NA1,MSR,1989,44.0,566581000.0
NA1,MSR,1995,22.0,38410000.0
NA1,MTQ,2007,44.0,423437000.0
NA1,MTQ,1995,22.0,307283000.0
NA1,MTQ,1980,14.666666666666666,241487000.0
NA1,MTQ,2017,11.0,52533000.0
NA1,MTQ,1996,8.8,19000.0
NA1,NIC,1998,44.0,1773254000.0
NA1,NIC,1982,22.0,1079639000.0
NA1,NIC,2020,14.666666666666666,1039173000.0
NA1,NIC,1988,11.0,989883000.0
NA1,NIC,2022,8.8,180000000.0
NA1,NIC,1996,7.333333333333333,18845000.0
NA1,NIC,2000,6.285714285714286,1700000.0
NA1,NIC,2001,5.5,1653000.0
NA1,NIC,2002,4.888888888888889,1627000.0
NA1,PAN,1988,44.0,148482000.0
NA1,PAN,2020,22.0,12438000.0
NA1,PAN,1998,14.666666666666666,90000.0
NA1,PER,2023,44.0,705000000.0
NA1,PER,1997,22.0,21878000.0
NA1,PRI,2017,44.0,81186997000.0
NA1,PRI,1998,22.0,3141839000.0
NA1,PRI,2022,14.666666666666666,2500000000.0
NA1,PRI,1996,11.0,932913000.0
NA1,PRI,2011,8.8,650520000.0
NA1,PRI,1995,7.333333333333333,576156000.0
NA1,PRI,1999,6.285714285714286,263534000.0
NA1,PRI,2004,5.5,154939000.0
NA1,PRI,2020,4.888888888888889,67620000.0
NA1,SLV,2009,44.0,1280911000.0
NA1,SLV,1998,22.0,696770000.0
NA1,SLV,2005,14.666666666666666,533035000.0
NA1,SLV,2020,11.0,248768000.0
NA1,SLV,2010,8.8,26842000.0
NA1,SLV,2022,7.333333333333333,17000000.0
NA1,SLV,1996,6.285714285714286,19000.0
NA1,SXM,2017,44.0,2984816000.0
NA1,TCA,2008,44.0,679636000.0
NA1,TCA,2017,22.0,596963000.0
NA1,TCA,1985,14.666666666666666,14000.0
NA1,TTO,2004,44.0,1549000.0
NA1,VCT,1980,44.0,57886000.0
NA1,VCT,2010,22.0,33553000.0
NA1,VCT,2002,14.666666666666666,17897000.0
NA1,VCT,1987,11.0,13651000.0
NA1,VCT,2004,8.8,7747000.0
NA1,VEN,1993,44.0,9116000.0
NA1,VGB,2017,44.0,3581779000.0
NA1,VGB,1996,22.0,3732000.0
NA1,VIR,1995,44.0,1797604000.0
NA1,VIR,1999,22.0,316241000.0
NA1,VIR,1998,14.666666666666666,179534000.0
NA1,VIR,1989,11.0,51464000.0
NA2,CAN,1995,44.0,192052000.0
NA2,CAN,2003,22.0,174996000.0
NA2,CAN,1996,14.666666666666666,187000.0
NA2,USA,2005,44.0,236066989000.0
