year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
1996,1996-0252-FRA,FRA,Tropical cyclone,19000.0,1996-0252
1998,1998-0436-FRA,FRA,Extra-tropical storm,269300000.0,1998-0436
1999,1999-0571-FRA,FRA,Extra-tropical storm,14055163000.0,1999-0571
1999,1999-0611-FRA,FRA,Extra-tropical storm,7027581000.0,1999-0611
2002,2002-0673-FRA,FRA,Extra-tropical storm,1627000.0,2002-0673
2003,2003-0003-FRA,FRA,Extra-tropical storm,80000.0,2003-0003
2007,2007-0019-FRA,FRA,Extra-tropical storm,352864000.0,2007-0019
2009,2009-0014-FRA,FRA,Extra-tropical storm,4365193000.0,2009-0014
2010,2010-0088-FRA,FRA,Extra-tropical storm,5677133000.0,2010-0088
2017,2017-0086-FRA,FRA,Extra-tropical storm,656660000.0,2017-0086
2019,2019-0621-FRA,FRA,Storm (General),114471000.0,2019-0621
2020,2020-0418-FRA,FRA,Storm (General),1093451000.0,2020-0418
2023,2023-0761-FRA,FRA,Extra-tropical storm,40000000.0,2023-0761
1990,1990-0717-GBR,GBR,Storm (General),7615485000.0,1990-0717
1990,1990-0722-GBR,GBR,Storm (General),2015864000.0,1990-0722
1990,1990-0723-GBR,GBR,Storm (General),783947000.0,1990-0723
1990,1990-0720-GBR,GBR,Storm (General),156789000.0,1990-0720
1990,1990-0719-GBR,GBR,Storm (General),134391000.0,1990-0719
1990,1990-0718-GBR,GBR,Storm (General),22398000.0,1990-0718
1991,1991-0004-GBR,GBR,Storm (General),1933961000.0,1991-0004
1996,1996-0252-GBR,GBR,Tropical cyclone,559748000.0,1996-0252
1998,1998-0451-GBR,GBR,Storm (General),1194617000.0,1998-0451
1998,1998-0007-GBR,GBR,Extra-tropical storm,897668000.0,1998-0007
1998,1998-0419-GBR,GBR,Storm (General),359067000.0,1998-0419
1999,1999-0571-GBR,GBR,Extra-tropical storm,175690000.0,1999-0571
1999,1999-0590-GBR,GBR,Extra-tropical storm,1757000.0,1999-0590
2002,2002-0671-GBR,GBR,Extra-tropical storm,650796000.0,2002-0671
2002,2002-0051-GBR,GBR,Storm (General),81000.0,2002-0051
2005,2005-0011-GBR,GBR,Extra-tropical storm,974059000.0,2005-0011
2005,2005-0819-GBR,GBR,Storm (General),74928000.0,2005-0819
2007,2007-0019-GBR,GBR,Extra-tropical storm,1693748000.0,2007-0019
2010,2010-0088-GBR,GBR,Extra-tropical storm,671000.0,2010-0088
2014,2014-0067-GBR,GBR,Extra-tropical storm,123621000.0,2014-0067
2015,2015-0525-GBR,GBR,Storm (General),1481690000.0,2015-0525
2022,2022-0112-GBR,GBR,Extra-tropical storm,491342000.0,2022-0112
2004,2004-0741-GRC,GRC,Storm (General),526794000.0,2004-0741
2006,2006-0454-HUN,HUN,Storm (General),14517000.0,2006-0454
1990,1990-0720-IRL,IRL,Storm (General),134391000.0,1990-0720
1990,1990-0717-IRL,IRL,Storm (General),67195000.0,1990-0717
1990,1990-0722-IRL,IRL,Storm (General),44797000.0,1990-0722
1991,1991-0005-IRL,IRL,Storm (General),8595000.0,1991-0005
1996,1996-0252-IRL,IRL,Tropical cyclone,1866000.0,1996-0252
1998,1998-0419-IRL,IRL,Storm (General),90000.0,1998-0419
1999,1999-0571-IRL,IRL,Extra-tropical storm,175690000.0,1999-0571
2000,2000-0679-IRL,IRL,Storm (General),169951000.0,2000-0679
1990,1990-0723-ITA,ITA,Storm (General),44797000.0,1990-0723
1993,1993-0212-ITA,ITA,Storm (General),1266173000.0,1993-0212
2010,2010-0692-ITA,ITA,Storm (General),1170321000.0,2010-0692
2018,2018-0397-ITA,ITA,Extra-tropical storm,1282006000.0,2018-0397
1993,1993-0105-LTU,LTU,Storm (General),9319000.0,1993-0105
1999,1999-0590-LTU,LTU,Extra-tropical storm,878000.0,1999-0590
2005,2005-0011-LTU,LTU,Extra-tropical storm,44957000.0,2005-0011
1990,1990-0717-LUX,LUX,Storm (General),201586000.0,1990-0717
1990,1990-0718-LUX,LUX,Storm (General),201586000.0,1990-0718
1990,1990-0722-LUX,LUX,Storm (General),201586000.0,1990-0722
1990,1990-0723-LUX,LUX,Storm (General),201586000.0,1990-0723
1990,1990-0719-LUX,LUX,Storm (General),11199000.0,1990-0719
1990,1990-0721-LUX,LUX,Storm (General),11199000.0,1990-0721
1995,1995-0008-LUX,LUX,Storm (General),19205000.0,1995-0008
2010,2010-0088-LUX,LUX,Extra-tropical storm,41605000.0,2010-0088
1999,1999-0590-LVA,LVA,Extra-tropical storm,878000.0,1999-0590
2005,2005-0011-LVA,LVA,Extra-tropical storm,487030000.0,2005-0011
1990,1990-0717-NLD,NLD,Storm (General),2687818000.0,1990-0717
1990,1990-0718-NLD,NLD,Storm (General),403173000.0,1990-0718
1990,1990-0722-NLD,NLD,Storm (General),403173000.0,1990-0722
1990,1990-0719-NLD,NLD,Storm (General),156789000.0,1990-0719
1990,1990-0721-NLD,NLD,Storm (General),134391000.0,1990-0721
1990,1990-0723-NLD,NLD,Storm (General),134391000.0,1990-0723
1994,1994-0015-NLD,NLD,Storm (General),3949000.0,1994-0015
1995,1995-0021-NLD,NLD,Storm (General),2266211000.0,1995-0021
1998,1998-0436-NLD,NLD,Extra-tropical storm,180000.0,1998-0436
2002,2002-0677-NLD,NLD,Extra-tropical storm,488097000.0,2002-0677
2007,2007-0019-NLD,NLD,Extra-tropical storm,776301000.0,2007-0019
2010,2010-0088-NLD,NLD,Extra-tropical storm,37579000.0,2010-0088
2013,2013-0517-NLD,NLD,Extra-tropical storm,12563000.0,2013-0517
2018,2018-0025-NLD,NLD,Extra-tropical storm,128213000.0,2018-0025
2022,2022-0112-NLD,NLD,Extra-tropical storm,568420000.0,2022-0112
1990,1990-0722-NOR,NOR,Storm (General),268782000.0,1990-0722
1990,1990-0717-NOR,NOR,Storm (General),22398000.0,1990-0717
1993,1993-0091-NOR,NOR,Tropical cyclone,6078000.0,1993-0091
2005,2005-0011-NOR,NOR,Extra-tropical storm,194812000.0,2005-0011
1990,1990-0717-POL,POL,Storm (General),111992000.0,1990-0717
1994,1994-0015-POL,POL,Storm (General),1974000.0,1994-0015
1999,1999-0590-POL,POL,Extra-tropical storm,17569000.0,1999-0590
2002,2002-0059-POL,POL,Storm (General),163000.0,2002-0059
2002,2002-0678-POL,POL,Extra-tropical storm,81000.0,2002-0678
2007,2007-0019-POL,POL,Extra-tropical storm,141146000.0,2007-0019
2008,2008-0082-POL,POL,Extra-tropical storm,67964000.0,2008-0082
1997,1997-0271-PRT,PRT,Storm (General),45580000.0,1997-0271
2010,2010-0088-PRT,PRT,Extra-tropical storm,362370000.0,2010-0088
2018,2018-0376-PRT,PRT,Tropical cyclone,134611000.0,2018-0376
2004,2004-0584-SVK,SVK,Storm (General),593883000.0,2004-0584
2007,2007-0458-SVN,SVN,Storm (General),412145000.0,2007-0458
2007,2007-0019-SVN,SVN,Extra-tropical storm,141146000.0,2007-0019
1990,1990-0717-SWE,SWE,Storm (General),11199000.0,1990-0717
1990,1990-0722-SWE,SWE,Storm (General),11199000.0,1990-0722
1999,1999-0590-SWE,SWE,Extra-tropical storm,281103000.0,1999-0590
2005,2005-0011-SWE,SWE,Extra-tropical storm,4195947000.0,2005-0011
1992,1992-0477-UKR,UKR,Tropical cyclone,3337000.0,1992-0477
1997,1997-0200-UKR,UKR,Tropical cyclone,61989000.0,1997-0200
2000,2000-0784-UKR,UKR,Storm (General),203941000.0,2000-0784
2007,2007-0019-UKR,UKR,Extra-tropical storm,141146000.0,2007-0019
2021,2021-0320-UKR,UKR,Extra-tropical storm,183605000.0,2021-0320
