region,year,rp,impact
OC,2018,1.4193548387096775,69928000.0
OC,2010,1.375,67678000.0
OC,1988,1.3333333333333333,50526000.0
OC,2014,1.2941176470588236,40794000.0
OC,2008,1.2571428571428571,40778000.0
OC,2022,1.2222222222222223,25000000.0
OC,2009,1.1891891891891893,18143000.0
OC,1980,1.1578947368421053,8012000.0
OC,1981,1.1282051282051282,3863000.0
ROW,2000,44.0,10197117000.0
ROW,2017,22.0,4895098000.0
ROW,1984,14.666666666666666,2817149000.0
ROW,2023,11.0,705000000.0
ROW,1996,8.8,562566000.0
ROW,2004,7.333333333333333,551584000.0
ROW,1980,6.285714285714286,237936000.0
ROW,1993,5.5,228924000.0
ROW,2018,4.888888888888889,140019000.0
ROW,1997,4.4,122173000.0
ROW,1994,4.0,118464000.0
ROW,1989,3.6666666666666665,118038000.0
ROW,2014,3.3846153846153846,105078000.0
ROW,2002,3.142857142857143,82163000.0
ROW,2019,2.933333333333333,27473000.0
ROW,2013,2.75,11683000.0
ROW,1987,2.588235294117647,5151000.0
ROW,1992,2.4444444444444446,3337000.0
ROW,2005,2.3157894736842106,75000.0
SI,2019,44.0,2581332000.0
SI,1984,22.0,1327305000.0
SI,1981,14.666666666666666,804660000.0
SI,1982,11.0,761124000.0
SI,2023,8.8,526710000.0
SI,1986,7.333333333333333,400501000.0
SI,2004,6.285714285714286,387349000.0
SI,2007,5.5,340444000.0
SI,1994,4.888888888888889,287472000.0
SI,2017,4.4,269828000.0
SI,1989,4.0,154006000.0
SI,1983,3.6666666666666665,141039000.0
SI,2012,3.3846153846153846,127466000.0
SI,2008,3.142857142857143,108741000.0
SI,1997,2.933333333333333,91251000.0
SI,2002,2.75,81644000.0
SI,2015,2.588235294117647,56798000.0
SI,2013,2.4444444444444446,31407000.0
SI,1996,2.3157894736842106,27054000.0
SI,1987,2.2,23181000.0
SI,2000,2.0952380952380953,16996000.0
SI,2022,2.0,16000000.0
SI,1985,1.9130434782608696,15149000.0
SI,2009,1.8333333333333333,10913000.0
WP1,2017,44.0,3563870000.0
WP1,2013,22.0,1852017000.0
WP1,2020,14.666666666666666,1728367000.0
WP1,2009,11.0,1589475000.0
WP1,2006,8.8,1567859000.0
WP1,1996,7.333333333333333,1496430000.0
WP1,1989,6.285714285714286,1116637000.0
WP1,1997,5.5,958113000.0
WP1,2021,4.888888888888889,892642000.0
WP1,2016,4.4,659864000.0
WP1,2018,4.0,541007000.0
WP1,2012,3.6666666666666665,436955000.0
WP1,2005,3.3846153846153846,404984000.0
WP1,2007,3.142857142857143,269588000.0
WP1,2008,2.933333333333333,258941000.0
WP1,1998,2.75,194255000.0
WP1,2001,2.588235294117647,137513000.0
WP1,1993,2.4444444444444446,131682000.0
WP1,1994,2.3157894736842106,128336000.0
WP1,1990,2.2,111992000.0
WP1,2022,2.0952380952380953,65000000.0
WP1,2010,2.0,59724000.0
WP1,2004,1.9130434782608696,46482000.0
WP1,1992,1.8333333333333333,45989000.0
WP1,2000,1.76,44188000.0
WP1,1995,1.6923076923076923,40715000.0
WP1,1991,1.6296296296296295,38299000.0
WP1,2014,1.5714285714285714,13227000.0
WP1,2019,1.5172413793103448,4579000.0
WP1,2015,1.4666666666666666,962000.0
WP2,2013,44.0,12734166000.0
WP2,2015,22.0,2323003000.0
WP2,2014,14.666666666666666,1313963000.0
WP2,2009,11.0,1272314000.0
WP2,2020,8.8,1181621000.0
WP2,2012,7.333333333333333,1170315000.0
WP2,2021,6.285714285714286,1107282000.0
WP2,1988,5.5,997347000.0
WP2,1984,4.888888888888889,947942000.0
WP2,1990,4.4,870181000.0
WP2,2011,4.0,685957000.0
WP2,2018,3.6666666666666665,659822000.0
WP2,2019,3.3846153846153846,616215000.0
WP2,1995,3.142857142857143,608997000.0
WP2,2008,2.933333333333333,600290000.0
WP2,1991,2.75,590933000.0
WP2,1993,2.588235294117647,521546000.0
WP2,1987,2.4444444444444446,498898000.0
WP2,2006,2.3157894736842106,480403000.0
WP2,1998,2.2,422689000.0
WP2,1980,2.0952380952380953,420440000.0
WP2,1989,2.0,403890000.0
