country,cal_region2,event_id,impact,rp
VNM,WP1,1998342N06141,102650152.3,1.8095238095238095
VNM,WP1,2004319N10134,94274912.3,1.7272727272727273
VNM,WP1,1996260N19107,83068179.11,1.6521739130434783
VNM,WP1,2013282N14132,82650310.98,1.5833333333333333
VNM,WP1,2010233N17119,70670931.39,1.52
VNM,WP1,2005257N15120,64617086.41,1.4615384615384615
VNM,WP1,2017195N16114,59078283.51,1.4074074074074074
VNM,WP1,2005301N13117,35539397.53,1.3571428571428572
VNM,WP1,1997261N13114,34683119.29,1.3103448275862069
VNM,WP1,2001220N17118,18230113.7,1.2666666666666666
VNM,WP1,2008272N15113,12209487.86,1.2258064516129032
VNM,WP1,2012225N16133,8125989.1170000015,1.1875
VNM,WP1,1992174N13126,7548589.73,1.1515151515151516
VNM,WP1,2014190N08154,6200000.0,1.1176470588235294
VNM,WP1,2014254N10142,4500000.0,1.0857142857142856
VNM,WP1,2008320N08122,1878382.747,1.0555555555555556
VNM,WP1,2010191N12138,803078.7658,1.0
VNM,WP1,2009270N10148,351280.9518,0.9743589743589743
VUT,OC,2015066S08170,496316510.4,38.0
VUT,OC,1987035S12160,155722786.8,19.0
VUT,OC,1993083S12181,25998065.23,12.666666666666666
VUT,OC,2014068S16169,2000000.0,9.5
WSM,OC,1991338S08181,1782167001.0,38.0
WSM,OC,2012346S14180,133663025.6,19.0
YEM,NI,2015301N11065,189625777.2,38.0
