year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
2019,2019-0337-BGD,BGD,Flood (General),85854.0,2019-0337
2020,2020-0323-BGD,BGD,Flood (General),565383.0,2020-0323
2022,2022-0340-BGD,BGD,Flood (General),462500.0,2022-0340
2002,2002-0552-BGR,BGR,Flood (General),1627.0,2002-0552
2005,2005-0338-BGR,BGR,Riverine flood,370142.0,2005-0338
2005,2005-0473-BGR,BGR,Riverine flood,299711.0,2005-0473
2005,2005-0265-BGR,BGR,Riverine flood,14986.0,2005-0265
2012,2012-0033-BGR,BGR,Riverine flood,5609.0,2012-0033
2014,2014-0210-BGR,BGR,Riverine flood,466050.0,2014-0210
2014,2014-0368-BGR,BGR,Riverine flood,12362.0,2014-0368
2015,2015-0038-BGR,BGR,Riverine flood,7162.0,2015-0038
2013,2013-0187-BHS,BHS,Riverine flood,56532.0,2013-0187
2010,2010-0252-BIH,BIH,Riverine flood,116764.0,2010-0252
2014,2014-0164-BIH,BIH,Riverine flood,539703.0,2014-0164
1993,1993-0047-BLR,BLR,Riverine flood,202588.0,1993-0047
1999,1999-0132-BLR,BLR,Riverine flood,7695.0,1999-0132
1990,1990-0642-BLZ,BLZ,Flood (General),4928.0,1990-0642
1995,1995-0460-BLZ,BLZ,Flood (General),960.0,1995-0460
2008,2008-0484-BLZ,BLZ,Riverine flood,13181.0,2008-0484
1992,1992-0023-BOL,BOL,Riverine flood,208567.0,1992-0023
1992,1992-0552-BOL,BOL,Riverine flood,208567.0,1992-0552
1997,1997-0022-BOL,BOL,Riverine flood,63812.0,1997-0022
1997,1997-0566-BOL,BOL,Riverine flood,63812.0,1997-0566
2001,2001-0029-BOL,BOL,Riverine flood,199988.0,2001-0029
2002,2002-0110-BOL,BOL,Riverine flood,162699.0,2002-0110
2003,2003-0621-BOL,BOL,Riverine flood,1591.0,2003-0621
2006,2006-0039-BOL,BOL,Riverine flood,50810.0,2006-0039
2007,2007-0652-BOL,BOL,Riverine flood,705728.0,2007-0652
2007,2007-0042-BOL,BOL,Riverine flood,127031.0,2007-0042
2011,2011-0040-BOL,BOL,Riverine flood,26021.0,2011-0040
2013,2013-0057-BOL,BOL,Riverine flood,3141.0,2013-0057
2020,2020-0091-BOL,BOL,Flood (General),11308.0,2020-0091
1991,1991-0109-BRA,BRA,Riverine flood,4298.0,1991-0109
1992,1992-0013-BRA,BRA,Riverine flood,53810.0,1992-0013
1995,1995-0301-BRA,BRA,Riverine flood,5762.0,1995-0301
1998,1998-0080-BRA,BRA,Flood (General),1795.0,1998-0080
2003,2003-0673-BRA,BRA,Riverine flood,482035.0,2003-0673
2004,2004-0236-BRA,BRA,Riverine flood,573.0,2004-0236
2008,2008-0549-BRA,BRA,Riverine flood,1019455.0,2008-0549
2008,2008-0125-BRA,BRA,Riverine flood,489338.0,2008-0125
2009,2009-0163-BRA,BRA,Riverine flood,750268.0,2009-0163
2009,2009-0531-BRA,BRA,Riverine flood,68206.0,2009-0531
2010,2010-0248-BRA,BRA,Riverine flood,807951.0,2010-0248
2010,2010-0147-BRA,BRA,Riverine flood,268422.0,2010-0147
2011,2011-0014-BRA,BRA,Riverine flood,1301040.0,2011-0014
2011,2011-0626-BRA,BRA,Riverine flood,2602.0,2011-0626
2012,2012-0185-BRA,BRA,Riverine flood,217967.0,2012-0185
2013,2013-0552-BRA,BRA,Riverine flood,678381.0,2013-0552
2013,2013-0003-BRA,BRA,Riverine flood,2513.0,2013-0003
2013,2013-0519-BRA,BRA,Riverine flood,2513.0,2013-0519
2013,2013-0077-BRA,BRA,Riverine flood,1884.0,2013-0077
2014,2014-0103-BRA,BRA,Riverine flood,247241.0,2014-0103
2015,2015-0489-BRA,BRA,Riverine flood,2469.0,2015-0489
2016,2016-0033-BRA,BRA,Flood (General),121936.0,2016-0033
2017,2017-0202-BRA,BRA,Riverine flood,119393.0,2017-0202
2018,2018-0112-BRA,BRA,Flood (General),50115.0,2018-0112
2018,2018-0040-BRA,BRA,Flood (General),11655.0,2018-0040
2020,2020-0022-BRA,BRA,Flood (General),339230.0,2020-0022
2020,2020-0083-BRA,BRA,Flood (General),84807.0,2020-0083
2020,2020-0560-BRA,BRA,Flood (General),84807.0,2020-0560
2020,2020-0056-BRA,BRA,Flood (General),56538.0,2020-0056
2021,2021-0790-BRA,BRA,Flood (General),450372.0,2021-0790
2021,2021-0232-BRA,BRA,Flood (General),43201.0,2021-0232
2021,2021-0040-BRA,BRA,Flood (General),39961.0,2021-0040
2021,2021-0087-BRA,BRA,Flood (General),38881.0,2021-0087
